address,price,bedrooms,bathrooms,sqft,year_built,rent_estimate
123 Oak Street Austin TX,425000,3,2,1850,2015,2800
456 Maple Ave Dallas TX,385000,4,2.5,2200,2018,3100
789 Pine Road Houston TX,550000,5,3,2800,2020,4200
321 Cedar Lane San Antonio TX,295000,3,2,1650,2012,2200
654 Birch Blvd Austin TX,475000,4,3,2400,2019,3500
987 Elm Street Dallas TX,320000,3,2,1800,2010,2450
147 Willow Way Houston TX,625000,5,4,3200,2021,4800
258 Ash Court San Antonio TX,275000,2,1,1200,2008,1800
369 Spruce Ave Austin TX,395000,3,2.5,1950,2016,2650
741 Cypress Dr Dallas TX,445000,4,2,2100,2017,2950
